# Wavelength_Angstrom  Normalized_Flux
4.802050011228699987e+03 1.005946278572082520e+00
4.802100011229400479e+03 1.002258777618408203e+00
4.802150011230100063e+03 1.003697037696838379e+00
4.802200011230799646e+03 9.940916299819946289e-01
4.802250011231500139e+03 9.571015238761901855e-01
4.802300011232199722e+03 9.132744073867797852e-01
4.802350011232900215e+03 9.217061400413513184e-01
4.802400011233599798e+03 9.578019380569458008e-01
4.802450011234300291e+03 9.906827211380004883e-01
4.802500011234999874e+03 9.948766231536865234e-01
4.802550011235700367e+03 9.590010046958923340e-01
4.802600011236399951e+03 8.285489678382873535e-01
4.802650011237099534e+03 6.720843315124511719e-01
4.802700011237800027e+03 6.588919162750244141e-01
4.802750011238499610e+03 7.979081273078918457e-01
4.802800011239200103e+03 9.271101355552673340e-01
4.802850011239899686e+03 9.827272891998291016e-01
4.802900011240600179e+03 1.002956986427307129e+00
4.802950011241299762e+03 1.006147503852844238e+00
4.803000011242000255e+03 1.003934025764465332e+00
4.803050011242699838e+03 1.003404736518859863e+00
4.803100011243400331e+03 9.999965429306030273e-01
4.803150011244099915e+03 1.000306010246276855e+00
4.803200011244800407e+03 1.003850340843200684e+00
4.803250011245499991e+03 1.000726103782653809e+00
4.803300011246199574e+03 9.962627887725830078e-01
4.803350011246900067e+03 9.958531260490417480e-01
4.803400011247599650e+03 9.984757900238037109e-01
4.803450011248300143e+03 9.969958066940307617e-01
4.803500011248999726e+03 9.976176619529724121e-01
4.803550011249700219e+03 9.999152421951293945e-01
4.803600011250399803e+03 1.002367615699768066e+00
4.803650011251100295e+03 1.009783506393432617e+00
4.803700011251799879e+03 1.003479957580566406e+00
4.803750011252499462e+03 9.916931986808776855e-01
4.803800011253199955e+03 9.727650880813598633e-01
4.803850011253900448e+03 9.784352779388427734e-01
4.803900011254600031e+03 9.813685417175292969e-01
4.803950011255299614e+03 9.904247522354125977e-01
4.804000011256000107e+03 9.933588504791259766e-01
4.804050011256699690e+03 9.905942082405090332e-01
4.804100011257400183e+03 9.952120780944824219e-01
4.804150011258099767e+03 9.899699091911315918e-01
4.804200011258800259e+03 9.707465767860412598e-01
4.804250011259499843e+03 9.107578396797180176e-01
4.804300011260200336e+03 8.575891256332397461e-01
4.804350011260899919e+03 8.696885108947753906e-01
4.804400011261599502e+03 9.162444472312927246e-01
4.804450011262299995e+03 9.540948271751403809e-01
4.804500011262999578e+03 9.743143320083618164e-01
4.804550011263700071e+03 9.891958236694335938e-01
4.804600011264399654e+03 9.938896298408508301e-01
4.804650011265100147e+03 9.742425084114074707e-01
4.804700011265799731e+03 9.162751436233520508e-01
4.804750011266500223e+03 7.969719767570495605e-01
4.804800011267199807e+03 6.376625895500183105e-01
4.804850011267900300e+03 5.158987045288085938e-01
4.804900011268599883e+03 5.167555212974548340e-01
4.804950011269300376e+03 6.689953804016113281e-01
4.805000011269999959e+03 8.559084534645080566e-01
4.805050011270699542e+03 9.488965272903442383e-01
4.805100011271400035e+03 9.418371915817260742e-01
4.805150011272099619e+03 8.862881660461425781e-01
4.805200011272800111e+03 8.098390102386474609e-01
4.805250011273499695e+03 8.240759372711181641e-01
4.805300011274200187e+03 8.950559496879577637e-01
4.805350011274899771e+03 9.655229449272155762e-01
4.805400011275600264e+03 9.848645925521850586e-01
4.805450011276299847e+03 1.006113529205322266e+00
4.805500011277000340e+03 1.004401445388793945e+00
4.805550011277699923e+03 1.009196519851684570e+00
4.805600011278400416e+03 1.007133483886718750e+00
4.805650011279099999e+03 1.009826302528381348e+00
4.805700011279799583e+03 1.016923666000366211e+00
4.805750011280500075e+03 1.002562761306762695e+00
4.805800011281199659e+03 1.006660103797912598e+00
4.805850011281900152e+03 1.004264473915100098e+00
4.805900011282599735e+03 1.002774834632873535e+00
4.805950011283300228e+03 9.928958415985107422e-01
4.806000011283999811e+03 9.627964496612548828e-01
4.806050011284700304e+03 9.371901750564575195e-01
4.806100011285399887e+03 9.366850256919860840e-01
4.806150011286099470e+03 9.544225931167602539e-01
4.806200011286799963e+03 9.850396513938903809e-01
4.806250011287500456e+03 1.008481383323669434e+00
4.806300011288200039e+03 1.004382491111755371e+00
4.806350011288899623e+03 9.988396763801574707e-01
4.806400011289600116e+03 9.978638887405395508e-01
4.806450011290299699e+03 9.896503686904907227e-01
4.806500011291000192e+03 9.812583923339843750e-01
4.806550011291699775e+03 9.854263663291931152e-01
4.806600011292400268e+03 9.867892265319824219e-01
4.806650011293099851e+03 9.552577733993530273e-01
4.806700011293800344e+03 8.539422750473022461e-01
4.806750011294499927e+03 7.106247544288635254e-01
4.806800011295199511e+03 6.580708026885986328e-01
4.806850011295900003e+03 7.577031850814819336e-01
4.806900011296599587e+03 8.876813054084777832e-01
4.806950011297300080e+03 9.432607889175415039e-01
4.807000011297999663e+03 9.391871094703674316e-01
4.807050011298700156e+03 9.374305009841918945e-01
4.807100011299399739e+03 9.552961587905883789e-01
